 Time, Object, Value, Comments 
130.51890672,gyro,1.0625,target-7.0
130.600976668,gyro,1.0,target-7.0
130.713476199,gyro,1.0,target-7.0
130.807658334,gyro,0.9375,target-7.0
130.904524793,gyro,0.875,target-7.0
131.04539823,gyro,0.8125,target-7.0
131.147381512,gyro,0.6875,target-7.0
131.24768698,gyro,0.5,target-7.0
131.347560314,gyro,0.375,target-7.0
131.440580731,gyro,0.0625,target-7.0
131.572538439,gyro,-0.375,target-7.0
131.652004429,gyro,-0.625,target-7.0
131.770932398,gyro,-1.3125,target-7.0
131.882065886,gyro,-2.25,target-7.0
131.971894949,gyro,-2.875,target-7.0
132.345708438,SamplingSize,0.0,
132.919637605,SamplingSize,0.0,
133.118301406,SamplingSize,0.0,
133.328748229,SamplingSize,0.0,
133.540787344,SamplingSize,0.0,
133.715056615,SamplingSize,0.0,
133.885537084,SamplingSize,0.0,
134.106085677,SamplingSize,2.0,
134.110352969,SamplingObject,787.6259765625,Recognition(label=Gold Mineral, confidence=0.883, left=407, right=544, top=788, bottom=958, h: 169.8985, w: 136.91843
134.113075834,SamplingObject,152.7567138671875,Recognition(label=Silver Mineral, confidence=0.754, left=351, right=488, top=153, bottom=302, h: 148.99084, w: 137.20941
134.337488333,gyro,-5.625,target5.0
134.439514532,gyro,-5.4375,target5.0
134.549747344,gyro,-5.3125,target5.0
134.637327135,gyro,-5.1875,target5.0
134.704661354,gyro,-5.125,target5.0
134.80593927,gyro,-4.875,target5.0
134.908817083,gyro,-4.5,target5.0
134.995645156,gyro,-4.3125,target5.0
135.08647177,gyro,-3.9375,target5.0
135.189579687,gyro,-3.3125,target5.0
135.271908281,gyro,-2.5625,target5.0
135.367132447,gyro,-1.5625,target5.0
135.451965468,gyro,-0.375,target5.0
135.53399552,gyro,1.125,target5.0
135.616826874,gyro,2.6875,target5.0
136.034285156,leftDrive,0.45,target: -130.0
136.045415624,rightDrive,-0.55,target-130.0
136.05783026,leftDrive,0.25,target: -130.0
136.063505468,rightDrive,-1.35,target-130.0
136.071784531,leftDrive,-0.1,target: -130.0
136.079859635,rightDrive,-2.1,target-130.0
