 Time, Object, Value, Comments 
43.896237327,gyro,-0.0,target-7.0
43.955894046,gyro,-0.0625,target-7.0
44.027905452,gyro,-0.0625,target-7.0
44.097426129,gyro,-0.0625,target-7.0
44.168458681,gyro,-0.1875,target-7.0
44.236672692,gyro,-0.1875,target-7.0
44.300395035,gyro,-0.25,target-7.0
44.375647327,gyro,-0.3125,target-7.0
44.462659097,gyro,-0.5,target-7.0
44.532301337,gyro,-0.6875,target-7.0
44.625142223,gyro,-0.875,target-7.0
44.695395087,gyro,-1.0625,target-7.0
44.766460348,gyro,-1.3125,target-7.0
44.836514358,gyro,-1.625,target-7.0
44.906248212,gyro,-2.0625,target-7.0
44.997159827,gyro,-3.0625,target-7.0
45.329963472,SamplingSize,0.0,
45.602378993,SamplingSize,0.0,
45.774562326,SamplingSize,0.0,
45.936600764,SamplingSize,0.0,
46.120331232,SamplingSize,0.0,
46.258376128,SamplingSize,0.0,
46.453705868,SamplingSize,2.0,
46.679334357,gyro,-9.625,target5.0
46.757298784,gyro,-9.625,target5.0
46.848653367,gyro,-9.0625,target5.0
46.913135971,gyro,-8.75,target5.0
46.971357534,gyro,-8.5625,target5.0
47.041234565,gyro,-8.125,target5.0
47.100466596,gyro,-7.6875,target5.0
47.177076909,gyro,-6.5,target5.0
47.248456128,gyro,-5.0625,target5.0
47.317100243,gyro,-3.375,target5.0
47.385465711,gyro,-1.875,target5.0
47.450305971,gyro,-0.8125,target5.0
47.520273315,gyro,-0.0625,target5.0
47.580319461,gyro,0.375,target5.0
47.986133003,leftDrive,0.1,target: -130.0
47.989067534,rightDrive,0.0,target-130.0
48.000875815,leftDrive,0.2,target: -130.0
48.004066857,rightDrive,0.0,target-130.0
48.010101075,leftDrive,0.25,target: -130.0
48.014160659,rightDrive,-0.1,target-130.0
48.021471388,leftDrive,-0.1,target: -130.0
48.025140972,rightDrive,-0.7,target-130.0
48.039061701,leftDrive,-0.55,target: -130.0
48.042041909,rightDrive,-1.9,target-130.0
48.04806493,leftDrive,-0.7,target: -130.0
48.051045086,rightDrive,-2.3,target-130.0
48.057564409,leftDrive,-0.9,target: -130.0
48.063104669,rightDrive,-2.55,target-130.0
48.0710842,leftDrive,-1.35,target: -130.0
48.074244409,rightDrive,-2.95,target-130.0
48.081018471,leftDrive,-1.7,target: -130.0
48.084461961,rightDrive,-3.35,target-130.0
48.089128419,leftDrive,-2.05,target: -130.0
48.096136701,rightDrive,-3.7,target-130.0
48.104231597,leftDrive,-2.7,target: -130.0
48.107066024,rightDrive,-4.35,target-130.0
48.113548783,leftDrive,-3.15,target: -130.0
48.117030607,rightDrive,-4.9,target-130.0
48.123064148,leftDrive,-3.7,target: -130.0
48.131708784,rightDrive,-5.5,target-130.0
48.138414513,leftDrive,-4.55,target: -130.0
48.141319669,rightDrive,-6.3,target-130.0
48.148264565,leftDrive,-5.15,target: -130.0
48.151592586,rightDrive,-6.95,target-130.0
48.173253211,leftDrive,-5.85,target: -130.0
48.177150555,rightDrive,-8.65,target-130.0
48.185181597,leftDrive,-7.7,target: -130.0
48.187197638,rightDrive,-9.45,target-130.0
48.199584357,leftDrive,-8.75,target: -130.0
48.203353627,rightDrive,-10.6,target-130.0
48.211229305,leftDrive,-9.7,target: -130.0
48.214235191,rightDrive,-11.45,target-130.0
48.220091857,leftDrive,-10.35,target: -130.0
48.223077742,rightDrive,-12.2,target-130.0
48.247960607,leftDrive,-12.65,target: -130.0
48.251472429,rightDrive,-14.65,target-130.0
48.262274252,leftDrive,-13.7,target: -130.0
